#type,size_bytes,avg_time_s,bandwidth_MBps
latency,1,3.840000000e-07,0.000000
latency,2,1.410000000e-07,0.000000
latency,4,1.295000000e-07,0.000000
latency,8,1.260000000e-07,0.000000
latency,16,1.425000000e-07,0.000000
latency,32,1.295000000e-07,0.000000
latency,64,1.350000000e-07,0.000000
latency,128,1.440000000e-07,0.000000
latency,256,1.575000000e-07,0.000000
latency,512,2.320000000e-07,0.000000
latency,1024,2.630000000e-07,0.000000
bandwidth,2048,4.100000000e-07,4763.719512
bandwidth,4096,8.500000000e-07,4595.588235
bandwidth,8192,1.250000000e-06,6250.000000
bandwidth,16384,1.580000000e-06,9889.240506
bandwidth,32768,2.100000000e-06,14880.952381
bandwidth,65536,3.240000000e-06,19290.123457
bandwidth,131072,4.800000000e-06,26041.666667
bandwidth,262144,8.650000000e-06,28901.734104
bandwidth,524288,1.738000000e-05,28768.699655
bandwidth,1048576,4.275000000e-05,23391.812865
bandwidth,2097152,2.257100000e-04,8860.927739
bandwidth,4194304,2.084600000e-04,19188.333493
