#type,size_bytes,avg_time_s,bandwidth_MBps
latency,1,1.055000000e-07,0.000000
latency,2,1.075000000e-07,0.000000
latency,4,1.105000000e-07,0.000000
latency,8,1.085000000e-07,0.000000
latency,16,1.210000000e-07,0.000000
latency,32,1.170000000e-07,0.000000
latency,64,1.235000000e-07,0.000000
latency,128,1.325000000e-07,0.000000
latency,256,1.440000000e-07,0.000000
latency,512,1.970000000e-07,0.000000
latency,1024,2.290000000e-07,0.000000
bandwidth,2048,3.800000000e-07,5139.802632
bandwidth,4096,8.200000000e-07,4763.719512
bandwidth,8192,1.100000000e-06,7102.272727
bandwidth,16384,1.300000000e-06,12019.230769
bandwidth,32768,1.730000000e-06,18063.583815
bandwidth,65536,2.560000000e-06,24414.062500
bandwidth,131072,4.450000000e-06,28089.887640
bandwidth,262144,8.020000000e-06,31172.069825
bandwidth,524288,1.478000000e-05,33829.499323
bandwidth,1048576,3.074000000e-05,32530.904359
bandwidth,2097152,6.927000000e-05,28872.527790
bandwidth,4194304,1.357300000e-04,29470.271863
